,B cell,DN1 thymic pro-T cell,Fraction A pre-pro B cell,Langerhans cell,T cell,alveolar macrophage,basal cell,basal cell of epidermis,basophil,bladder cell,bladder urothelial cell,blood cell,cardiac muscle cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,dendritic cell,duct epithelial cell,early pro-B cell,endocardial cell,endothelial cell,endothelial cell of hepatic sinusoid,epithelial cell,erythroblast,fibroblast,granulocyte,granulocytopoietic cell,hematopoietic precursor cell,hepatocyte,immature B cell,immature T cell,keratinocyte,kidney capillary endothelial cell,kidney cell,kidney collecting duct epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney proximal straight tubule epithelial cell,late pro-B cell,leukocyte,luminal epithelial cell of mammary gland,lung endothelial cell,macrophage,mast cell,mesangial cell,mesenchymal cell,mesenchymal stem cell,monocyte,myeloid cell,nan,natural killer cell,neuroendocrine cell,non-classical monocyte,proerythroblast,promonocyte,skeletal muscle satellite cell,stromal cell,type II pneumocyte
10,Cd37,Ms4a4b,H2afx,Tbc1d4,Tnfrsf4,Il18,Gjb4,Itgb4,Cyp11a1,Tcf21,Fmo5,Ms4a7,Tnnc1,1700009P17Rik,Ccl6,Ppfia4,Upk1a,Xrcc6,Gpm6a,Cd36,Fam167b,Lypd2,Ube2l6,Gsn,Camp,Ltf,Plac8,Apoc3,Arl5c,Ccr9,Tgm3,Eltd1,Cd74,Tmem213,Slc5a3,Dnase1,Mki67,C1qb,Prlr,Lyve1,Gm11428,Cyp11a1,Akr1b7,Col10a1,Myoc,Mpeg1,H2-Ab1,Myl1,Klra18,Mustn1,Cd300e,Klf1,Csf2ra,Arl4d,Pdgfra,Cldn18
11,Fcer2a,Klra7,Selplg,Klrb1b,Ccr7,Clec4n,Cxcl14,Pax9,Ifitm1,Asz1,Psca,H2-DMb1,Cox6a2,1700094D03Rik,Cd300a,Ccr9,Mup3,Pde2a,Emcn,C1qtnf9,Stab1,Tff2,Car2,Fbln1,AA467197,Cd177,Cst7,Serpina1a,Ms4a1,Cd3g,Krt76,Egfl7,Aif1,Pgam2,Sostdc1,Slc4a4,2810417H13Rik,Cd14,Cldn3,Tspan7,Cd14,Cd7,Mustn1,Col8a1,Apod,Tyrobp,Ccl22,Cilp2,Klra7,Sncg,Fcgr4,Ctse,Fcer1g,Akap2,Npnt,Pla2g1b
12,H2-Oa,Klrk1,Hist1h1e,H2-Eb1,Icos,Itgax,Fermt1,Crlf1,Rnase12,Cck,2200002D01Rik,Bcl2a1d,Ankrd1,1700007K13Rik,Ms4a4c,Runx2,Tmprss2,Prep,Mmrn2,Darc,Gpihbp1,Cbr2,Mkrn1,Gas1,Pglyrp1,Trem3,Clec12a,Serpina1b,2010001M09Rik,Cd3e,Serpinb3a,Ptprb,Il1b,Gm10664,Klk1,Fut9,Hist1h2ao,Retnla,Cldn7,Ecscr,H2-Aa,Gp49a,Lmod1,Col9a3,Clec3b,Clec4a3,Gm2a,Serpinf1,AW112010,Plp1,Clec4a1,Trim10,Alox5ap,Fgfr4,Hhip,Lgi3
13,Cd22,Nkg7,Bst2,Cxcl2,Itk,Marco,Myl9,Lamb3,Hdc,Nkain4,Hilpda,Cd209a,Atp2a2,Rsph1,Clec4a1,Klk1b27,Dnmt3l,Arl5c,Pecam1,Esam,Kdr,Scgb1a1,Apol11b,6330406I15Rik,Cd177,Hmgn2,Cmtm7,Ahsg,Cd19,Tcf7,Sbsn,Plat,Ccr2,Cryab,Gpx6,Gatm,H2afx,Rgs1,Basp1,BC028528,Cxcl2,Gata2,Sncg,Lect1,Gsn,Fcer1g,H2-Eb1,Ckm,Cma1,Mbp,Cd300a,Hmbs,Tyrobp,Cdh15,Dpep1,Chi3l1
14,Fcrl1,Il2rb,Rnase6,Hpgds,Skap1,Mpeg1,Myh11,Plek2,Ccl4,3632451O06Rik,1110032A04Rik,Ccl9,Cox8b,Lrrc10b,Gm11428,Pacsin1,Mal,Msh5,Ednrb,Iigp1,Sepp1,Aqp5,2410076I21Rik,Mfap4,1810033B17Rik,Clec4a2,Myb,Gc,Faim3,Rag1,Mt4,Fam167b,Ppt1,Slc8a1,Fxyd2,Aldob,Ezh2,Cxcr2,Slc12a2,Clec1a,Il1b,Cd200r3,Rergl,Hapln1,Igfbp6,Ms4a4c,Aif1,Mylpf,Ctsw,Rgs4,Ace,Hba-a2,Glipr1,Vgll2,Mamdc2,Lyz1
15,Fcrla,Cd3e,Flt3,H2-Aa,Cxcr6,Sirpa,Sox4,Cdc20,Alox5,Col3a1,8430408G22Rik,Pf4,Cox7a1,Foxj1,Csf1r,Cd7,Vsig2,Lrmp,Hmcn1,Grrp1,Plxnc1,Cyp2a5,Slc4a1,Abca8a,Fpr2,1700020L24Rik,Ramp1,Hpx,Cd72,Cd3d,Crct1,Sox17,Clec4b1,Cdh16,Clcnkb,Slc27a2,Tifa,Lst1,Efhd2,Sdpr,H2-DMb1,Cpa3,Rasd1,1500015O10Rik,Fbln2,Ly6c2,H2-Aa,Comp,Klra3,Rgs16,Csf1r,Cldn13,Itgb7,Meg3,Olfml3,Nkx2-1
16,Cd74,Gzmb,2810417H13Rik,Cd74,Cd2,Lpl,Csf1,Tppp3,Ms4a3,Fbln5,Slc14a1,Gm11428,Pln,Meig1,Alox5ap,Klra17,Apoa2,Pmf1,Gpr182,Pecam1,Bmp2,Msln,Fech,Tcf21,Trem3,Itgb2l,Nkg7,Cyp3a11,Pafah1b3,Rrm2,Krtap3-3,Cd300lg,Clec9a,Spp1,Cdh16,Acy3,Hist1h2ab,Cxcl2,Mfge8,Ace,Mgl2,Csrp3,Atp1b2,S100b,Col5a3,Gm9733,Cd74,Pvalb,Klri2,Rasl11a,Hfe,Tmcc2,Cfp,Pdpn,G0s2,Dram1
17,Ltb,Klrd1,BC035044,H2-DMb1,Cd28,Cidec,Efhd2,Barx2,Ccl9,Serpina3n,Vsig2,H2-Eb1,Csrp3,AU040972,Ctss,2210020M01Rik,Ttr,Blnk,Colec11,Tcf15,Msr1,Ifitm1,Tfdp2,Scn7a,Itgam,Gca,Srgn,Fgb,Syk,Cd27,Krt10,Ly6c1,Amica1,Atp6v1g3,Fabp3,Spp2,Rrm2,Osm,Wnt5b,Cdh5,Ccl3,Rgs1,Cald1,Cpe,Tnxb,Cx3cr1,Batf3,Ptx4,Xcl1,Mylk,Fgr,Slc25a37,Hist1h1e,Msc,Postn,Cbr2
18,Blk,Cd3d,Ppfia4,Bcl2a1d,Folr4,Nceh1,Id4,Fam162a,Rgs1,Pi16,Areg,Mgl2,Ryr2,Tctex1d4,Pld4,A430084P05Rik,Ctse,Arpp21,Cd93,Rasip1,Flt4,Ltf,Tmcc2,Heyl,Chi3l3,Adpgk,Adssl1,Apoc4,Cd37,Cd247,Krt35,Tspan8,Cst3,Kcnj1,Nccrp1,Slc22a12,Lmnb1,Retnlg,1810010D01Rik,Stmn2,Bst2,Cyp4f18,Rgs7bp,Col9a1,Mnda,Cybb,Ppfia4,Timp1,Ccl4,Des,Cd300ld,Ermap,Hist1h2ae,Jsrp1,Foxf2,Muc1
19,Pou2af1,Hcst,Hist1h2ao,Cxcl16,Cd8b1,Bcl2a1a,Rbp1,Ckmt1,Cst7,Vcan,Gsta4,Lilrb4,Tcap,1700027A23Rik,Tyrobp,Cybasc3,Sprr2g,Stambpl1,Egfl7,Ptprb,Gm4980,Bpifb1,Rsad2,Matn2,Adpgk,Hp,AI662270,Serpina1d,Pou2f2,Skap1,Krt85,Eng,Mgl2,Atp1b1,Clcnka,Pdzk1,Hist1h4d,Ccr1,Csf3,Ctla2a,Cd209a,Tmem71,Cox4i2,Otor,Nid1,Clec4a1,Cd7,Itgbl1,Ms4a4b,Art3,LOC100038947,Tspo2,Emb,Cxcl1,Clec3b,Bex4
