,B cell,DN1 thymic pro-T cell,Fraction A pre-pro B cell,Langerhans cell,T cell,alveolar macrophage,basal cell,basal cell of epidermis,basophil,bladder cell,bladder urothelial cell,blood cell,cardiac muscle cell,ciliated columnar cell of tracheobronchial tree,classical monocyte,dendritic cell,duct epithelial cell,early pro-B cell,endocardial cell,endothelial cell,endothelial cell of hepatic sinusoid,epithelial cell,erythroblast,fibroblast,granulocyte,granulocytopoietic cell,hematopoietic precursor cell,hepatocyte,immature B cell,immature T cell,keratinocyte,kidney capillary endothelial cell,kidney cell,kidney collecting duct epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney proximal straight tubule epithelial cell,late pro-B cell,leukocyte,luminal epithelial cell of mammary gland,lung endothelial cell,macrophage,mast cell,mesangial cell,mesenchymal cell,mesenchymal stem cell,monocyte,myeloid cell,nan,natural killer cell,neuroendocrine cell,non-classical monocyte,proerythroblast,promonocyte,skeletal muscle satellite cell,stromal cell,type II pneumocyte
30,Ptprcap,Id2,Cbfa2t3,Arl4c,Fam189b,Cd200r4,Tnfrsf12a,Gnai1,Plac8,Gadd45g,Uchl1,Cd74,Obscn,Efcab10,Emilin2,Nucb2,Cyp4f15,Myb,Smoc1,Gpr116,Eltd1,Aldh1a1,2810453I06Rik,Sfrp2,Hdc,Cybb,H2afy,Hpd,Map4k1,Anp32e,Gm94,Clec14a,Flt3,Tfcp2l1,Tfap2b,Ggt1,Cenpe,Pilra,F3,Esam,Bcl2a1b,Fxyd5,Rasl11a,Clec3a,Pi16,Klra2,Alox5ap,AU040972,Klra1,Cox4i2,Myo1g,Apol11b,C1galt1c1,Odc1,Fmo2,Egfl6
31,Igj,Thy1,Hist1h2ab,Ccr1,Gramd3,Gal,Jag1,Ociad2,Ccl6,Csrp2,Myof,Tnfrsf1b,Ckm,Mlf1,Ifi27l2a,Gm5547,Enho,Fam53b,Rps6ka2,Ecscr,Clec1b,Dcpp1,Isg15,Cd34,Cxcr2,Hmgb2,Svip,Kng1,Unc93b1,Rag2,Dsg1a,Flt1,Wdfy4,Sfrp1,Slc16a7,Cml1,2010001M09Rik,Slc40a1,Sox10,Cav2,Ccl24,Il4,Cnn1,Fn1,AI607873,Ifitm6,Cst3,Aspn,Dok2,Sfrp5,Adrbk2,Hist1h1b,Clec4a2,Glul,Gm4956,Car8
32,Grap,Ly9,Birc5,Rhof,Tnfrsf18,AI504432,Actn1,2010111I01Rik,Ccr1,Aldh1a2,Sprr1a,C5ar1,Myoz2,Gm1574,Ifitm6,Klk1,9530036O11Rik,Phldb3,Ramp2,Egfl7,Clec14a,Cldn3,Isca1,Ltbp4,Ltb4r1,Clec5a,Rasgrp2,Serpinc1,Bank1,Cd6,Lor,Cldn15,Bcl2a1d,Egf,Ppargc1a,Slc22a6,Cplx2,Tyrobp,Cck,Ptprb,Rnase6,Gpr183,Sorbs1,Comp,Cxcr7,Slfn1,Lsp1,Il6,Eomes,Lmod1,Abi3,Mki67,Sfpi1,Cebpd,Gyg,Fasn
33,Ly86,Tnfrsf18,Cenpe,Ccrl2,Sh2d2a,Cd44,Plekhb1,Pappa,Emilin2,Akap12,Shh,Clec4d,Cmya5,Aldh3b1,Mnda,Ly6c2,Fabp1,Fcrl6,Tmem2,Jam2,Npr1,Sec14l3,Hmbs,Entpd2,Lilrb3,1810033B17Rik,Cebpe,Rgn,Bcl11a,Dut,2310002J15Rik,Ehd4,Irf5,Wfdc15b,Cgnl1,Hsd3b4,Nusap1,Bcl2a1d,Irx1,Myzap,Lair1,Ccr1,Zfhx3,Col11a2,Lum,Emilin2,Ctss,Atp2a1,Prf1,Gucy1a3,Lair1,Fech,BC035044,Fgfr1,Rarres2,Aqp5
34,Gimap1,Tmem149,Hmmr,Csf1r,Vps37b,Bst1,Fhl2,Pdlim1,Cebpa,Wfdc1,Gata3,Csf1r,Srl,Gm1673,Fgr,Tmem229b,Fer1l4,Ng23,Cd59a,Ly6c1,Aqp1,Wfdc2,Ube2o,Igfbp4,Pilra,Itgam,Fcnb,Apob,Lrmp,Cdca7,Spink5,Cd200,Lsp1,Abca13,Rap1gap,Cyp4b1,Cenpf,Sepx1,Snhg11,Rasgef1a,Cd7,C3ar1,Agtr1a,A230065H16Rik,Pcolce,S100a4,Selplg,Abi3bp,Fasl,Ednrb,Tyrobp,Hist1h2ae,Cd48,Slc39a14,Mfap5,Atp8a1
35,Btla,Gimap3,Lmnb1,Cd14,Cd6,Tcf7l2,Pdlim3,Ppp2r2c,Il3ra,Creb3l1,Ugt2b34,Cxcl3,Actn2,Cldn18,Hck,Spns3,C8g,Bst1,Ecscr,Slfn5,Mmrn2,Tpo,Gm12839,Axl,Lyz2,Ncf4,Rgs18,H2-Q10,Sp140,Ccnd3,Calml3,Tinagl1,Gm2a,Angpt2,Abca13,Slc5a12,Nrgn,C5ar1,Cd164,Myct1,Folr2,Tyrobp,Mcam,Susd5,Entpd2,Fcgr3,Gm11428,Fbln7,Cst7,Aoc3,Tnfrsf1b,Epb4.2,Hp,Vcam1,Tmem119,S100g
36,Swap70,Lat,Smc2,Cytip,Satb1,Ms4a8a,Slpi,Gyltl1b,Fut7,Cpxm1,Rab11fip1,Clec10a,Hrc,2410004P03Rik,Fcgr3,Evi2a,Serpina1e,Sit1,F2r,Eltd1,Itga9,Sftpd,Blvrb,Camk2n1,Pygl,Lrg1,1700020L24Rik,Ces1c,Plekha2,1190002F15Rik,2610528A11Rik,Lims2,Batf3,Ldhb,Defb1,Slc13a3,Dut,Cd300ld,D4Bwg0951e,Pecam1,Cd83,Cd69,Sparcl1,Sparc,Cilp,Fcgr1,Rassf4,Myl9,Il18r1,Synpo2,Bcl2a1d,Alad,Myo1f,Bdkrb1,Gm13889,Alcam
37,Dtx1,Icos,Kif11,Ltc4s,Limd2,Csf2rb,Cald1,Trp63,Poln,Serpinh1,Krt23,Retnla,Casq2,1600029I14Rik,Cd68,Slamf9,Fa2h,Cd79a,Smad6,Cd93,Sema6a,Slc16a11,Cmas,Sulf2,Padi4,Lta4h,Alas1,Cyp2c69,Ikzf3,Hmgb2,Dmkn,Ushbp1,Cfp,Kcnj16,Ppp1r1b,Ttc36,Fcrla,Stfa2l1,Ano1,Gpr116,Cd209d,Il18r1,Filip1,9930013L23Rik,Mt1,Lilrb3,Cd300a,Fxyd6,Hcst,S1pr3,Cyp4f18,Urod,Lmnb1,Crlf1,Mustn1,Napsa
38,Apobec3,Selplg,Cd209a,Xlr,Ltb,Pla2g15,1600029D21Rik,Crip1,Slc18a2,Bmp4,Krt8,Clec4e,Myom2,Lrrc51,Ly6c2,Cd68,Dppa5a,Smtnl2,Cp,Nts,Cd38,Gabrp,Gpx1,Adamts5,Mrgpra2b,Ltb4r1,Serpinb1a,Tat,Cd38,Nusap1,Krtap13-1,Pecam1,Gm6377,Car15,Sfrp1,Fbp1,Bach2,Cfp,Slc5a5,Tmcc2,Ms4a7,Lat2,Kcnab1,Meg3,Itm2a,Ifi204,Evi2a,Col22a1,Ccl3,Tpm2,Klra2,Icam4,Selplg,Gdnf,Ccl2,Mlc1
39,Gpr18,Ptprcap,Sell,Cd209a,Ptpn22,Ctsd,Pdlim4,Pard6g,Padi2,Col5a1,Foxa1,Cytip,Ckmt2,Tspan1,Ncf2,Kmo,8430408G22Rik,Myl10,Cbfa2t3,Tie1,Pde2a,Cxcl17,Urod,Col14a1,Sepx1,Ly6c2,Kcnk12,Cyp2c29,Ralgps2,Ptpn7,Slurp1,Tm4sf1,Fam105a,Bst1,Ckb,Ugt3a2,Birc5,Csf1r,Irx2,Ripply3,Ppfia4,Csf1,Gucy1a3,Gpc6,Fbn1,Samhd1,Cfp,Col1a2,Fcer1g,Crispld2,Stk10,Spna1,Igsf6,P2ry14,Ms4a4d,Npc2
40,Cd38,Ltb,Plac8,Slc15a3,Thy1,Tnfaip2,Angptl4,Jub,Ap3s1,Serping1,Atrn,Gp49a,Pgam2,4833427G06Rik,Igsf6,Ctsh,Snx31,Cd19,Hand2,Podxl,Tinagl1,BC048546,Mpp1,Ms4a4d,B230208H11Rik,Lyz1,Cldn15,Rbp4,Swap70,Birc5,Krt31,Igfbp5,Gm4902,Slc26a4,D630042F21Rik,Kcnj15,Slamf7,Aif1,Rhou,Cxx1a,Bcl2a1d,C5ar1,Tpm1,Loxl4,Fndc1,Ly86,Rnase6,Pcolce,Tbx21,Rrad,Pilrb2,Hist1h1e,Birc5,Rapsn,Lrat,E030019B13Rik
41,Ms4a4c,Il18r1,Lgals1,H2-DMa,Zap70,Slc7a2,Pdpn,Gpsm2,Fcer1g,Itih5,Lmo1,Slc15a3,Tmod1,1700088E04Rik,Cybb,P2ry14,Apoc3,Tspan13,Wipf3,Mgll,Lyve1,Aqp4,Xpo7,C1qtnf7,Slfn4,2810417H13Rik,Lta4h,Vtn,Fam53b,H2afx,2310079G19Rik,Ifi44,Cd68,Hoxb9,Cyfip2,Glyat,Ccnd3,Fcna,Tnfrsf12a,Cd36,H2-DMa,Ms4a2,Hspb2,Cdkn1c,Ifi204,Ncf2,Flt3,Ogn,Cd244,Sorbs2,Pou2f2,Tfrc,H2afx,F630111L10Rik,Efemp1,Cd36
42,Prkcb,Il27ra,Cks1b,Dcstamp,Prkcq,C5ar1,Epcam,Nradd,Tyrobp,Ppic,Kcnk1,Il17a,Kcnk3,4933404M02Rik,Sfpi1,Pkib,Acaa1b,Tcf3,Pdlim3,Cav1,Cd59a,Gp2,Slc25a37,Lamc1,Mxd1,F630028O10Rik,Hmgn2,F2,Sbk1,Tyms,Dapl1,Sox18,Gm11428,Spink8,Pde1a,Folr1,Smc2,H2-DMb1,Gm5480,Ehd4,Cfp,Mcpt8,Nexn,Prrx1,Itih5,Apoc2,Cd48,Olfml3,Khdc1a,Procr,Itgb2,Slc43a1,Fcgr3,Cd200,Cmklr1,Prr15l
43,Blnk,Cst7,Stmn1,1300014I06Rik,Gpr132,AF251705,Tm4sf1,Klk10,Il4,Serpine1,Ermp1,Nlrp3,Gm1078,Traf3ip1,Slfn1,Plac8,Cyp2a12,Rcsd1,Cpe,Ifit1,Tek,Slc15a2,Bcl2l1,Eln,Fcer1g,Prtn3,Syce2,Cyp2e1,Ltb,Nsg2,Rbp2,Icam2,Sfpi1,Emx1,Aif1l,Tmem174,Fbxo5,Clec7a,Bglap-rs1,Tek,Tyrobp,Hk3,Stbd1,Ppp1r1b,Dpep1,Ms4a6b,Bcl2a1a,Mfap4,S1pr5,Gpm6b,Sirpb1b,Rsad2,Napsa,Chrnb1,Eln,Cox6a2
44,Siglecg,Fam189b,Ramp1,Snx20,Grap2,Axl,Csf3,Cdca3,Srgn,Ctsk,Srd5a1,Cfp,Xirp2,Ctxn1,4632428N05Rik,Klrd1,D8Ertd82e,Cmtm7,Gpr116,Gng11,Arhgef15,Fmo3,Bnip3l,Sfrp1,C5ar1,Arrb2,Glipr1,Itih4,Tcf3,Spc24,Lypd3,Irx3,Pkib,Ifit3,Wnk4,Slc17a1,Esco2,Bcl2a1b,Acot1,Epas1,Plek,Slc18a2,Dgkb,Pam,Adamts5,Evi2a,Siglech,Dcn,Gimap4,Steap4,Slc11a1,Tal1,Fam111a,Slc43a3,Pi15,1110017F19Rik
45,Ralgps2,Ptpn7,Nusap1,AA467197,Sept1,Fpr1,Mylk,Cenpa,1110028F11Rik,C1s,Cldn4,Clec4n,Mtus2,Cyp2b10,Lilrb4,Ly86,Cfhr1,Ebf1,Enpp6,Eng,Cdh5,2310043J07Rik,Fam46c,Arhgef40,Lyz1,Alox5ap,Cks1b,Apoa5,Pkig,Ccna2,Fgfbp1,Clec1a,Xlr,Atp1a1,Tmem207,Sult1d1,Tcf3,Amica1,Atp6v1b1,Nkd1,Rgs1,Alox15,Tinagl1,Myoc,Cd248,4632428N05Rik,Sfpi1,Pdgfrl,Itgb2,Pmp22,Cd68,Tfdp2,Fes,Mt1,Scgb1a1,Prmt8
46,H2-Eb2,Sept1,Cyth4,Alox5ap,Ptpn18,Cybasc3,Igfbp3,Isl1,Cpne2,Col6a1,S100a6,Bcl2a1a,Nexn,Odf3b,Ms4a6d,Lefty1,Hoxa11as,Tbc1d10c,Acer2,Cxcl9,Calcrl,Gsto1,Epb4.2,Qpct,Tyrobp,AA467197,Ogfrl1,Orm1,Bach2,Rhoh,Tchh,Gng11,Tnip3,Fabp3,Nudt4,Dao,Hells,H2-M2,Gipc2,Pltp,Bcl2a1a,Cd244,Gm13889,Itga10,Serpinf1,Gpr141,Tyrobp,Lox,Serpinb6b,Atp1b2,Ctss,Rrm2,Lilra6,Ank1,Mylk,Snx25
47,H2-DMa,Sh2d2a,Cmtm7,Hepacam2,Gimap6,Cd300lf,Crispld2,Ccdc34,Ptplad2,Scara5,Dsg2,Tlr2,Slc8a1,Ccdc11,Clec7a,Atp2a1,Gstt3,Snn,Cdh11,E030010A14Rik,Cd55,Gprc5a,Specc1,Ogn,St3gal5,Fam101b,Mcm5,Cyp2c50,Blnk,Myl10,Ada,Rasip1,Cysltr1,Kcnj10,Efhd1,Hrsp12,Hmmr,Lilrb4,Prss22,Kank3,Fcrls,2310001H17Rik,Serpini1,Ccdc80,Cebpd,Myo1f,Ccl9,Ecm2,Sytl3,Ccl11,Ms4a6c,Slfn14-ps,Tgfbi,Fas,Atp1a2,Irx2
48,Pyhin1,Runx3,Pld4,Gpr183,Xcl1,Slc15a3,Lmod1,Klf5,Clec12a,Dkk3,Syt8,Clec4b1,Doc2g,Nme5,Apoc2,Irf7,Elovl3,Cdc25b,Ptgs1,Isg15,Lhfpl2,Kcnh3,Rad23a,Rbp1,Arrb2,Pnkp,Cenpw,Slco1b2,Hvcn1,Ramp1,2310002L13Rik,Ramp3,Slamf9,Umod,Mrps6,Pth1r,Bcl7a,Clec4e,Tgm2,Cd93,Emr1,Cxcr2,Gucy1b3,Ccl19,6330406I15Rik,Cd68,Itgb7,C1qa,Tyrobp,Olfr558,Fyb,Kel,Spc24,Ankrd1,Ptgis,Acsl4
49,March1,Cd27,Hist1h4d,P2rx2,Ctla4,Ptpn12,Plaur,Stmn1,Csf2rb,Col16a1,Rnf128,Rgs1,Eef1a2,Scgb3a2,Oas1a,Spib,Ugt2b5,Rasgrp2,Nos3,Slc9a3r2,Tmem2,Oit1,Dcaf12,Pdgfra,Lst1,B230208H11Rik,Cks2,Uox,Bcl7a,Sept1,Serpinb2,Sncg,Ms4a6c,Gdf15,Bsnd,Tcn2,Hmgb1,Tnip3,Irx3,Rasip1,Lilrb4,Itgb7,Lbh,A330049M08Rik,Mt2,Sepx1,Ifi30,Ccl2,Selplg,Pln,Samsn1,Hebp1,Gpr141,Tln2,Slc1a3,Ank3
50,Cd52,Itgae,Tmem229b,Il10,Pydc3,Laptm5,Pqlc1,Igfbp3,Osm,Hhip,Gstm4,Cxcl16,Des,Dnali1,Irf7,Fyb,Hilpda,B3gnt2,Tnfsf10,Myct1,Snrk,Muc1,Slfn14-ps,Gata4,Clec4e,Mki67,Lyl1,Mat1a,Ly86,Ccnb2,Pkp1,Apold1,Ear2,Scnn1b,Fgf9,Gcnt1,Stmn1,G0s2,Tph1,Cav1,Slamf9,Ptplad2,Flna,Sox9,Dcn,1810033B17Rik,Rgs1,Scx,Klrb1b,Rasd1,Gm9733,St3gal5,Smc2,Hsph1,Cdh11,Acoxl
51,Snn,Evl,Kif20b,Csf2ra,Itgb7,Car4,Sphk1,Lgals7,E330020D12Rik,Nbl1,Prss22,Cd68,Myom1,Tekt1,Evi2a,Tmem221,Gnmt,Pou2af1,Rgs3,Aqp7,Ppap2a,Lrrc26,Gda,Lrp1,Gda,Hist1h1e,Lmo2,Trf,Chst3,Uhrf1,Psapl1,Gpihbp1,Evi2a,Atp4a,Baiap2l2,Calml4,1190002F15Rik,Bcl2a1a,Tead2,Pllp,Tnip3,P2ry14,Pdlim3,Bgn,Abca8a,Clec4a2,Zmynd15,Aebp1,Tnfrsf9,Gfra3,Cybb,Prdx2,Ctsc,Heyl,Spon2,Atp6v1c2
52,Ptpn6,Tespa1,Prc1,Il7r,Nkg7,Cpne5,Runx1,Tns4,Cmtm7,Pltp,Snx31,Rilpl2,Trdn,Cdhr3,Myo1f,BC147527,Bcl2l14,Impdh1,9430020K01Rik,Kdr,Robo4,Pglyrp1,Mllt3,Sdc2,Stfa2l1,Glrx,Tifab,Mbl2,Wdfy4,Rmnd5a,Klk14,Pcdh17,Psmb9,Wnk4,Etnk1,4931406C07Rik,Arl5c,AF251705,Nupr1,Gata2,Fcer1g,Fcgr3,Filip1l,Lif,Serping1,Ppfia4,Folr2,C1qc,Dusp2,Sparcl1,Cd97,Cd24a,Tmpo,Spsb1,Fgf7,4930420K17Rik
53,Sp140,Ly6c2,H2afy,Cfp,Ccl5,Lpin1,Lcn2,Cpn1,Fxyd5,Fkbp7,Tmem45b,Slamf9,Lmod2,Clic6,Samhd1,Unc93b1,Aspdh,Rag2,Plagl1,Unc45b,Tspan7,Pigr,Smox,Apoe,Tmcc1,Cldn15,Dut,Rdh7,Klhl6,Mxd3,Rab25,Gimap5,LOC100038947,Arhgap24,Lpl,Gsta2,Pbk,Cd74,Tmem86a,Fmo1,Clec10a,Padi2,Aoc3,2610017I09Rik,Podn,Itgb7,Tnni2,Tnc,Lfng,Kcne4,Bcl2a1b,Glrx5,Fam96a,Sdc4,Cyr61,Cpm
54,Vpreb3,Tbc1d10c,Racgap1,Vim,Il21r,Lyz2,Emid1,Ntrk2,Hcst,Mmp2,1810011O10Rik,Mrc1,Myl1,Elof1,Irf5,Havcr1,Leap2,Ptprcap,Trim47,Lrg1,Gatm,Sox21,1600020E01Rik,Dcn,4632428N05Rik,Tmem216,Ptpn7,Plg,Cecr2,Cdk1,Elovl4,Ednrb,Hfe,Pax8,Idh2,Chpt1,Incenp,Plek,Dmbt1,Acer2,C5ar1,Rgs18,Itga7,Serpine2,Axl,Itgam,Clec10a,Vsig4,Cd160,Tpm1,Sepx1,2410076I21Rik,Mcm5,Hspa1a,Dpt,Enpep
55,Tspan32,Podnl1,Spc24,Plaur,Selplg,Itgal,Cotl1,Cdca8,Rgs2,Tgfbi,Sytl2,AF251705,Angpt1,Ccdc78,Ptpro,Bcl11a,Sel1l3,Gpr56,Palm,Nrp1,Fam124a,F3,Pla2g16,Mmp23,Gca,Hk3,Itgb3,2810007J24Rik,Cd22,Gtf2h4,Dsp,Igfbp3,Cyth4,Col4a4,D630045M09Rik,BC021785,Cdk1,Zmynd15,R3hdml,Nsg1,Dnase1l3,Hcst,Gja4,Ibsp,Prss23,AI607873,AF251705,A430110N23Rik,Spn,Adamts1,C130050O18Rik,Hbq1b,Tmsb10,Gas1,Mxra8,Atp11a
56,Syk,Arl4c,Bcl11a,Cst3,Cd53,Alox5,Dclk1,Uqcrc1,Rab44,Kcnk2,Sgpl1,Ms4a6d,Mylk3,2310007L24Rik,Gngt2,F630111L10Rik,Apoa1,1700048O20Rik,Dock6,Scarb1,Prickle1,Krt19,Cdr2,Dclk1,Arhgdib,Siglece,Tfec,Azgp1,Rhoh,Camk4,Perp,Cdh5,Cxx1c,Mal,Pou3f3,Slc13a1,Fam53b,Slfn1,Tnk2,Smad6,C3ar1,Aqp9,Rbpms2,D0H4S114,Col15a1,Csf1r,Tep1,Steap4,Serpinb9b,Pou3f1,Myo1f,Abcb10,Cmtm7,Defb25,Ptx3,Scgb1c1
57,Cd83,Kcnj8,Hes6,Gm2a,Crem,Pld3,Tpm1,Sostdc1,Atp8b4,Avpr1a,Acsl3,Bpifb1,Lpl,Rsph9,Ifitm3,Clec9a,Parm1,Chchd10,Efcab4a,Vwf,Elk3,Sox2,Fbxo9,Atp1a2,Osm,Rac2,Bex6,Scd1,A630001G21Rik,Ube2c,Them5,Kank3,Fcgr2b,Slc16a7,Dst,Nox4,Kif22,Sirpb1b,Vsig10,Adrb1,Gp49a,Rab44,Smarcd3,Crispld1,Il6,Smpdl3a,Wdfy4,Rgs16,Sh2d2a,Prx,Pld4,Ift140,S100a4,2310015B20Rik,Scarf2,Elovl1
58,Bcl11a,Shisa5,Ccr2,Fxyd5,Tnfsf8,LOC100038947,Tuba1c,Ccnb1,Gpr97,Chpf,Acaa1b,Emr1,Cryab,Plcb3,Tifab,St8sia4,Hsd3b5,Gfra2,Arhgap29,Lims2,Tfpi,Frat2,Ccndbp1,Slc43a3,Ccr1,Rrm2,Gm1604b,Ces3a,H2-Ob,Tox,Sult2b1,Dkk2,Selplg,Hoxd9,Tfcp2l1,Amn,Asf1b,Alox5ap,Glul,Fibin,Tpsb2,Ncf2,Gng11,Clu,Ace,Ptplad2,Cyth4,Ager,Id2,Adamts4,Lyz2,Gata1,Coro1a,Tnfrsf12a,Serping1,Pi4k2b
59,Rnase6,B4galnt1,Unc93b1,Cd72,Sh2d1a,Prkar2b,Ctsl,Txndc17,Rapsn,Grem2,Hes1,Rab8b,Corin,Ccdc113,F13a1,Fgr,Bbox1,Cd79b,Ece1,Stmn2,Cldn5,Alcam,Glrx5,Rhoj,Slc2a3,Ffar2,Xpc,Hmgcs2,Zcwpw1,Asf1b,Aldh3a1,Myct1,Lrrc25,Cdkl1,Acadsb,Slc22a18,Mcm7,Sfpi1,Stc2,Gja4,Mmp12,Tbc1d4,Gucy1a2,S100a4,Col3a1,Hck,Amica1,Col12a1,Ifng,Scn7a,Smpdl3b,Slc38a5,Ccna2,Spry2,Scn3a,Cmtm8
60,Ciita,Klk8,Hist2h2ac,Cd40,Bcl2,Dmxl2,Flnc,Pitx1,Rab37,Mdk,Zfand2a,Marcksl1,Ank1,Syt5,Slamf8,Gm14207,Krt19,Eef2k,Ptpn14,Lrrc32,Rasal2,Nkx2-1,Eif5,Hic1,Syne1,Syne1,Gp1bb,Ugt2b5,Apobec3,Lmnb1,Prr9,Rasgrp3,Ctss,Scnn1g,Gcgr,Cela1,Ccnb2,Ccl4,Ppap2c,Nostrin,Cma1,Ncf1,Prkg2,Msmp,Col6a2,AB124611,Csf1r,Sfrp5,A430084P05Rik,Gpr37l1,Adssl1,Fam132a,Sepx1,Errfi1,Spon1,Kcnc3
61,Dok3,Gpr34,Iqgap2,Pkib,Tmem66,Fpr2,Igfbp5,Crip2,Gpr34,Lbp,Tmem64,Trem2,Fndc5,Agr3,Smpdl3a,Bmyc,Ebpl,Cd69,Aplp2,Tinagl1,Gata4,AU021092,Atg4a,Fam198b,Pilrb2,Mogat2,Rab44,Mug1,Stambpl1,Il21r,Ctnnbip1,Gja4,Cd83,Wnk1,Irx1,G6pc,Clspn,Slc7a11,Sgms2,Edn1,Cd209f,Grm6,Rbpms,Gpha2,Uap1,Ifi30,Ptpro,Acta2,Ccr5,Abcc9,Cd244,Epb4.9,Myo1g,Drp2,5031426D15Rik,Slc39a8
62,Map4k1,Ms4a6b,Gpr25,S100a4,Cd96,4930506M07Rik,Aebp1,Kcnh1,AI662270,Col5a2,Il33,Fcer1g,Popdc2,Dnahc6,Ly86,Clec12a,A730017L22Rik,Cecr2,Rbp1,Robo4,Rasgrp3,Wisp1,Ncoa4,Gata6,Siglece,Gpsm3,Itga2b,Cyp2c70,Btk,Spc25,2310042E22Rik,Tmem204,AF251705,Pcbd1,Pth1r,Ass1,Cecr2,Pla2g7,Pmepa1,Ppp1r16b,Plbd1,Evi2b,Rgs4,Ptgs2,Pcsk6,Irf5,Ly86,Chad,Gimap3,Ifitm1,Cebpb,Fn3k,Ramp1,En1,Ism1,Acot7
63,4930420K17Rik,Rassf5,Hist1h1a,Fcgr2b,Klk8,Sort1,Srm,BC064078,Fam129a,Mmp14,Paqr5,Ccr1,Eno3,Mapk15,AF251705,Sell,Ermp1,Gm4759,Ephb4,Kitl,Ushbp1,Cldn7,Fam117a,Cyp1b1,F630028O10Rik,Cdkn3,Hist1h2ae,Tdo2,Rnase6,Sit1,Dsc2,Arhgef15,Itgb7,Gpr56,Itgb6,Slc7a13,Rsph9,Clec10a,Krt7,Tspan13,AF251705,Selplg,Ldb3,2010002N04Rik,Col6a1,Tep1,Tifab,Postn,Klra21,Pdgfrb,Ncf2,Sowaha,F10,Bag3,Cox4i2,Zdhhc3
64,Srpk3,Pydc3,Ube2c,Csf2rb2,Epsti1,Sulf2,Smtn,Atf3,Tbc1d4,Dcn,Gclc,Ctss,Pde4dip,1700001L19Rik,Lyn,Selplg,0610009L18Rik,Dck,Atp2b4,Tmem88,Dab2,O3far1,Psme3,Pde1a,Csf3r,Hist1h2ae,Mcm6,C8g,Ptp4a3,Sla2,Clic3,Cmtm8,Ryr1,Gabarapl1,Kcnj10,Pter,Klhl6,Emr1,Clu,Ly6c1,Cyth4,Fyb,Rrad,Cspg4,Rarres2,Ctsc,Plekho1,Fibin,Gm4956,Hspb2,Alox5ap,Mkrn1,1810033B17Rik,Maff,Col3a1,Grb14
65,Gimap7,Txk,Cdkn2c,Cldn1,Hmha1,Naaa,Tes,B230120H23Rik,Spn,Tmem158,Oit1,Ccl6,Pygm,Prr15l,Fam105a,Tubgcp5,Gm5480,Pyhin1,Gata2,Akap2,Cyp26b1,Asgr1,Retnlg,Pmp22,Anxa1,Cpne3,Hp,Arg1,Tmem163,Sla,Ovol1,Cd93,Clec4a3,Hoxb8,Gpr56,Slc47a1,Nmral1,Itgal,Mlph,Hyal2,Ly86,Fcer1g,Actn1,Nfatc2,Pla1a,Mnda,Fcer1g,Kcnj8,Phactr3,Gucy1b3,Dleu2,Rbm38,Trem2,Cebpb,Dpysl2,Myo5c
66,Bfsp2,Dusp2,Mxd3,O3far1,Tox,Rassf4,Grwd1,Lad1,Lag3,Pdpn,Fa2h,Il1rn,Art3,Spa17,Ctsc,Ctsl,Xkr9,Ptp4a3,Phactr2,Sox7,Tmem106a,Dio1,Txnrd2,Vcan,Gpsm3,Ogfrl1,Calr,Cfhr2,Lyn,Pbk,Gpx2,Nphs2,Sirpb1b,Pdzk1ip1,Stard8,Slc22a1,Anp32e,Fcrls,Calca,Ushbp1,Cd300a,Npl,Kcnb1,Ldlrad3,Nov,Chi3l3,Bcl2a1d,Rgs4,Itgal,Vwa1,Fmnl1,Ifrd2,Hist1h2ao,Chrna1,Nr2f2,Itga9
67,Lat2,Il2rg,Tyrobp,Ctss,Arl4c,Gda,Has2,Nkx2-3,Fut8,Myh10,9130008F23Rik,Folr2,C130080G10Rik,Aldh1a1,Zbp1,Cfp,2310014F07Rik,Fcho1,Sncaip,Ushbp1,Dlc1,Krt8,AI662270,Islr,Slfn1,Pram1,Mcm3,Cyp2d10,Klf2,Hist1h2ae,Krt32,Ldb2,Cbfa2t3,Scnn1a,Cldn16,Pdzk1ip1,Ube2c,Fcer1g,Ets2,Tie1,Ccl8,Igsf6,Rab6b,Klhl21,Hspg2,Hp,Gng10,C1qb,Irf8,Rasal2,Tmcc1,Hist1h4d,Emilin2,Edn3,Mettl7a1,Ctsc
68,Cnp,Arhgap9,Rgs18,Klrd1,Cytip,X99384,Odc1,Cib2,Man2b1,Ecm1,Atp8b1,Tnf,Fgf12,Spag17,Osm,Apobec3,Liph,Gstt2,Gata6,Rgs16,Pcdh17,Osr2,Phospho1,Nfia,Igsf6,Asf1b,B4galt6,Cyp2c37,Myb,Mcm7,Lyg1,Dll4,Tep1,Hoxb7,Pkhd1,Slc17a3,Cd72,Ctss,St14,Tspan18,Mrc1,Galnt6,Myom1,Chadl,Ogn,Sfpi1,P2ry6,Thbs2,Itga4,Colec11,Il10ra,Hist1h1a,Irf8,Cryab,A330076H08Rik,Il18r1
